user,ch_num_sessions,ch_time_in_prob_sum,ch_time_in_video_sum,ch_ratio_clicks_weekend_day,ch_total_clicks_weekend,ch_total_clicks_weekday,ch_time_sessions_mean,ch_time_sessions_std,bo_delay_lecture,bo_reg_peak_dayhour,bo_reg_periodicity_m1,ma_competency_strength,ma_competency_anti,ma_content_anti,ma_student_shape,ma_student_speed,mu_speed_playback_mean,mu_frequency_action_relative_video_pause,wa_num_subs,wa_num_subs_correct,wa_num_subs_avg,wa_num_subs_perc_correct,la_pause_dur_mean,la_seek_len_std,la_pause_dur_std,la_time_speeding_up_mean,la_time_speeding_up_std,la_weekly_prop_watched_mean,la_weekly_prop_interrupted_mean,la_weekly_prop_interrupted_std,la_weekly_prop_replayed_mean,la_weekly_prop_replayed_std,la_frequency_action_video_play,grade,gender,category,year
20,6.0,5529.7,13043.1,1.5276218058870517,66.3,188.4,2265.8299675324674,1837.933822128641,-25749.789523809526,92.00147586941392,6.722482317074707,0.6408267195767196,0.0930172496405512,0.12505247455247454,0.6445238095238095,49.864999999999995,1.1080925935334298,0.29852168009508157,5.3,3.9,0.9629761904761904,0.6575,119.36449084201816,89.48024363626152,234.7842117536533,26.029028235390946,81.8962585357083,0.5663400488400488,0.18949328449328448,0.0,0.08646825396825397,0.0,0.32166245374763086,4.5,M,France,Y2-2018-19
21,3.6,1418.6,2392.0,1.3704177323103155,18.9,31.6,336.1433333333333,309.6265657130448,-13953.200833333332,70.91448783490678,2.4367830098497416,0.1375,0.0,0.25296653796653795,0.125,6.825,0.9,0.10909032039736037,1.5,1.0,0.275,0.13214285714285715,9.443333333333333,49.83055455899242,7.0092970161347825,0.0,0.0,0.5421855921855923,0.2541269841269841,0.0,0.09726495726495728,0.0,0.12505277058133912,2.5,F,France,Y2-2018-19
22,2.2,906.4,10362.0,0.510711061380244,97.6,102.8,4396.25,896.2971070946365,-29902.57833333333,112.30524967845477,3.8461498028367105,0.29111111111111115,0.049431164706959296,0.07933017433017434,0.30666666666666664,22.0,0.9969358974358974,0.30436334464753034,4.1,1.5,1.0666666666666667,0.29,92.75524634288914,93.2125359735434,166.5396452520341,21.708289604089362,45.69061517933744,0.28872710622710623,0.02967032967032967,0.0,0.05197802197802197,0.0,0.3197899200389267,2.25,F,Suisse.Autres,Y2-2018-19
23,5.6,4892.4,12455.0,0.7958627989231007,133.1,135.3,2175.6710714285714,1719.281939364865,-22679.60706349206,83.37160324688251,4.142618843723486,0.5655429292929293,0.16861197900668692,0.1812948987948988,0.5693939393939395,54.31,0.8049886891660553,0.32599727070334455,6.1,4.0,1.0865151515151514,0.5866045066045066,59.36319991153242,118.65920878224615,125.05432747357005,32.231044776119404,49.342387150790216,0.42261599511599507,0.159484126984127,0.0,0.10197802197802197,0.0,0.29786689963073354,4.25,M,France,Y2-2018-19
24,4.5,725.4,10952.3,0.24817678445585423,58.1,123.1,2603.8866666666668,1046.6943914331582,-58750.048398268395,92.04277707766967,4.4338957937655445,0.4423181818181819,0.013755498687005535,0.04108927108927109,0.36848484848484847,15.291666666666666,1.2136939520973018,0.30211127160149925,8.0,4.5,1.1324242424242423,0.40725274725274724,88.406591600121,75.15829807386828,147.9930937472817,66.52392669527123,136.39458970539593,0.5573534798534798,0.22924908424908425,0.0,0.17136752136752137,0.0,0.31211510451036745,3.5,M,Suisse.Autres,Y2-2018-19
25,4.0,3533.7,10096.0,34.941776851967,76.9,174.2,51150.15727272727,964.9955885322491,21109.8176046176,140.2273855034401,5.829720589484902,0.45878968253968255,0.04572174257830987,0.08880572130572131,0.4662121212121212,44.94166666666667,1.003338453444218,0.27509801093174224,5.9,3.1,1.0264393939393939,0.4621992386698269,25.478534121281694,39.22213481664192,43.560199079400334,15.970216405858315,40.9445403069902,0.5497344322344322,0.12543040293040292,0.0,0.06217032967032967,0.0,0.2802487180573697,2.25,,,Y2-2018-19
26,2.5,604.3,7926.4,0.275,1.4,49.5,1428.1416666666667,577.942491338126,30894.8025,62.09209607268512,3.984340755400688,0.13333333333333333,0.0,0.13424242424242422,0.0,9.8,0.9,0.1765155795240541,0.8,0.4,0.6,0.15,53.03811688311688,22.159024764797984,50.7071914394924,0.0,0.0,0.5757753357753358,0.15607142857142858,0.0,0.11007936507936508,0.0,0.2501426672742462,4.0,M,Etranger.Autres,Y2-2018-19
27,1.1,3031.9,1285.7,0.6777777777777778,2.7,30.2,1324.2,480.471986421748,-12629.960000000001,26.611087827068467,1.485946081592446,0.09880952380952382,0.0017094017094017096,0.0030303030303030303,0.11428571428571428,2.7,0.3,0.07275020475020474,1.6,0.8,0.3142857142857143,0.14666666666666667,12.043333333333333,2.9090799049376903,14.212705905427546,0.0,0.0,0.06999999999999999,0.01,0.0,0.01,0.0,0.06287750626566416,4.25,F,France,Y2-2018-19
28,2.5,3152.7,5640.8,1.7983817699645859,49.4,114.9,3009.3166666666666,1424.674161294602,-117034.785,178.12053804615567,3.786707854605887,0.7419264069264069,0.13530126351135152,0.13308061308061309,0.6841558441558442,17.491666666666667,0.9,0.22727425690159647,5.8,4.5,1.1117532467532467,0.7114468864468865,58.86413415834015,21.471962991243732,66.45576509537125,0.0,0.0,0.43218559218559216,0.04345238095238095,0.0,0.0,0.0,0.2994216706180638,5.25,,,Y2-2018-19
29,3.1,2790.3,4922.9,1.3110694216370853,40.9,53.2,1696.4,936.8541363744505,-56943.159166666665,61.25621773767076,3.3836899963959843,0.36041666666666666,0.16806251609809048,0.20639727389727386,0.30166666666666664,21.67047619047619,1.0112360512843064,0.1864978476641601,7.7,3.3,1.1516666666666668,0.31262931512931513,36.320211455211464,10.705852816344121,47.40274351345688,64.94290296704881,110.79820568166801,0.40456654456654456,0.0,0.0,0.0,0.0,0.11832914061827189,4.0,M,Suisse.PAM,Y2-2018-19
